previous_key,new_key,event_id,event_type,retailer_gln,gtin,serial_number,quantity,event_time,location_name,location_coordinate,price,company_name,generator_type,generator_gln,last_pi_gln
51a97d7f-b689-4c4d-b910-ecefa60a57a5,51a97d7f-b689-4c4d-b910-ecefa60a57a5,c77b737b-0b4d-4554-8cde-5fd6b3989916,7,8888326640808,13766988894524,34HHGW,1,2022-Aug-14T23:24:06 +0000,Jakarta_retailer_1,"-6.1357107,106.7718604",48.57,Jakarta,retailer,8888326640808,8888326640808
d26ea800-d0b0-4581-85b9-682cc5ee7538,d26ea800-d0b0-4581-85b9-682cc5ee7538,76d590ce-5d90-4797-b892-38f7f778c2da,7,1774453012917,32448689167025,108US,1,2022-Aug-14T23:24:06 +0000,Jakarta_retailer_0,"-6.1600821,106.72224",9.18,Jakarta,retailer,1774453012917,1774453012917
aa4a8bac-f980-4a81-978d-1bc725e63717,aa4a8bac-f980-4a81-978d-1bc725e63717,976d2299-e8f6-4272-b31a-eefe2500facb,7,5671747048226,99530554146714,73AAOPIHITLHINEZLWXL,1,2022-Aug-14T23:24:06 +0000,Jakarta_retailer_2,"-6.2609728,106.8349801",34.32,Jakarta,retailer,5671747048226,5671747048226
10041445-af38-45f8-b266-3ed4c4272453,10041445-af38-45f8-b266-3ed4c4272453,303bd1ca-ee94-4875-86c0-44c3529006f9,7,8888326640808,68665542826066,010UDNLAOZBSMJFPTKMLF,1,2022-Aug-14T23:24:06 +0000,Jakarta_retailer_1,"-6.1357107,106.7718604",48.1,Jakarta,retailer,8888326640808,8888326640808
9d2d1115-70a1-4141-96fb-573352995b10,9d2d1115-70a1-4141-96fb-573352995b10,ecefbd51-4cca-4f9b-be0b-e579ed8efc04,7,8888326640808,46757450473445,32CAEFQGHHMAH,1,2022-Aug-14T23:24:06 +0000,Jakarta_retailer_1,"-6.1357107,106.7718604",27.65,Jakarta,retailer,8888326640808,8888326640808
b6b54b20-7bee-437c-a882-7ca68096f51a,b6b54b20-7bee-437c-a882-7ca68096f51a,9643958a-9194-412b-bd5b-123cc69d4731,7,5671747048226,62356002334110,07RYESFMHJWLJSDXSSHZHI,1,2022-Aug-14T23:24:06 +0000,Jakarta_retailer_2,"-6.2609728,106.8349801",42.29,Jakarta,retailer,5671747048226,5671747048226
ce2ad91e-fd20-401d-9d3e-8910eae3415d,ce2ad91e-fd20-401d-9d3e-8910eae3415d,69fc4163-d937-4b82-bede-b5653b284bf3,7,8888326640808,32301194125327,49CJWECGDYWAFYTXYTCOG,1,2022-Aug-14T23:24:06 +0000,Jakarta_retailer_1,"-6.1357107,106.7718604",21.58,Jakarta,retailer,8888326640808,8888326640808
4509b7b8-605d-45c6-9357-1dab81d6b1ef,4509b7b8-605d-45c6-9357-1dab81d6b1ef,40f726cd-57c3-40b4-95da-ef602deb433f,7,8888326640808,00954152410780,64SMAZILZEVYJCZQU,1,2022-Aug-14T23:24:06 +0000,Jakarta_retailer_1,"-6.1357107,106.7718604",29.38,Jakarta,retailer,8888326640808,8888326640808
4a4ec6f4-8ca2-47e3-acce-fa0dae6dc212,4a4ec6f4-8ca2-47e3-acce-fa0dae6dc212,5ae29692-272e-4795-817f-84a883a782c1,7,5671747048226,06471612425710,64IIOVUEGGPQBZW,1,2022-Aug-14T23:24:06 +0000,Jakarta_retailer_2,"-6.2609728,106.8349801",38.37,Jakarta,retailer,5671747048226,5671747048226
8ad6bb91-a6f5-436e-89d0-da344fdde42d,8ad6bb91-a6f5-436e-89d0-da344fdde42d,6e63c6ad-0df8-4e34-ad9f-72392cf04bc5,7,5671747048226,31243351949109,58HRLRFZLZCUIOUUZVLIKC,1,2022-Aug-14T23:24:06 +0000,Jakarta_retailer_2,"-6.2609728,106.8349801",23.23,Jakarta,retailer,5671747048226,5671747048226
