previous_key,event_id,event_type,auction_gln,supplier_gln,customer_gln,gtin,serial_number,weight,event_time,location_name,location_coordinate,product_name,comapny_name,generator_type,new_key,generator_gln,last_pi_gln,next_pi_gln,company_name
51a97d7f-b689-4c4d-b910-ecefa60a57a5,e8fa559b-6875-4905-a93c-b1823422aad8,2,4713924717486,3554247679854,6441500985066,13766988894524,34HHGW,3394,2022-Aug-10T23:24:06 +0000,Bali,"-8.5278193,115.5054367",bPMQE,ALamGUI,auction center,51a97d7f-b689-4c4d-b910-ecefa60a57a5,4713924717486,3554247679854,4220625469927,Bali_auction_1
d26ea800-d0b0-4581-85b9-682cc5ee7538,5b144d0f-12fc-4042-8034-ced2dc5504a9,2,4713924717486,0237784275243,0220675328000,32448689167025,108US,7315,2022-Aug-10T23:24:06 +0000,Bali,"-8.5278193,115.5054367",iwJMi,XNNAbyV,auction center,d26ea800-d0b0-4581-85b9-682cc5ee7538,4713924717486,0237784275243,3296106594149,Bali_auction_1
aa4a8bac-f980-4a81-978d-1bc725e63717,8802471a-2294-411c-b349-7c6776d5f28f,2,4713924717486,2079196312230,2763567878706,99530554146714,73AAOPIHITLHINEZLWXL,3061,2022-Aug-10T23:24:06 +0000,Bali,"-8.5278193,115.5054367",xqFnm,XnhTQuu,auction center,aa4a8bac-f980-4a81-978d-1bc725e63717,4713924717486,2079196312230,4220625469927,Bali_auction_1
10041445-af38-45f8-b266-3ed4c4272453,a7c5846c-899c-4f83-ab12-28eca5dd9354,2,4713924717486,2079196312230,6441500985066,68665542826066,010UDNLAOZBSMJFPTKMLF,6956,2022-Aug-10T23:24:06 +0000,Bali,"-8.5278193,115.5054367",yTQFr,UfiuaBH,auction center,10041445-af38-45f8-b266-3ed4c4272453,4713924717486,2079196312230,4220625469927,Bali_auction_1
9d2d1115-70a1-4141-96fb-573352995b10,22b8b44d-80a6-4833-a081-cb33c6e65692,2,9972730450169,2079196312230,0220675328000,46757450473445,32CAEFQGHHMAH,9052,2022-Aug-10T23:24:06 +0000,Bali,"-8.7172488,115.2191964",ODdxT,azuemRC,auction center,9d2d1115-70a1-4141-96fb-573352995b10,9972730450169,2079196312230,6464028819111,Bali_auction_2
b6b54b20-7bee-437c-a882-7ca68096f51a,9d6cead4-56de-4874-820a-a6fd53e23f9b,2,2656058923708,0237784275243,0220675328000,62356002334110,07RYESFMHJWLJSDXSSHZHI,8570,2022-Aug-10T23:24:06 +0000,Bali,"-8.7373787,115.2054138",LAhWY,vSFZxaW,auction center,b6b54b20-7bee-437c-a882-7ca68096f51a,2656058923708,0237784275243,6464028819111,Bali_auction_0
ce2ad91e-fd20-401d-9d3e-8910eae3415d,2a6ae991-b087-484c-aec7-d2d3f6078fbc,2,2656058923708,0237784275243,6441500985066,32301194125327,49CJWECGDYWAFYTXYTCOG,4552,2022-Aug-10T23:24:06 +0000,Bali,"-8.7373787,115.2054138",znBAO,GhrSVJQ,auction center,ce2ad91e-fd20-401d-9d3e-8910eae3415d,2656058923708,0237784275243,6464028819111,Bali_auction_0
4509b7b8-605d-45c6-9357-1dab81d6b1ef,29963ea1-1ef2-4be1-8302-9929ba970cc5,2,4713924717486,2079196312230,0220675328000,00954152410780,64SMAZILZEVYJCZQU,8788,2022-Aug-10T23:24:06 +0000,Bali,"-8.5278193,115.5054367",znzro,fCpYVri,auction center,4509b7b8-605d-45c6-9357-1dab81d6b1ef,4713924717486,2079196312230,3296106594149,Bali_auction_1
4a4ec6f4-8ca2-47e3-acce-fa0dae6dc212,3047a04d-da61-44eb-9b08-dfbd51cda2fd,2,2656058923708,3554247679854,2763567878706,06471612425710,64IIOVUEGGPQBZW,5165,2022-Aug-10T23:24:06 +0000,Bali,"-8.7373787,115.2054138",duuWg,VANcGPb,auction center,4a4ec6f4-8ca2-47e3-acce-fa0dae6dc212,2656058923708,3554247679854,4220625469927,Bali_auction_0
8ad6bb91-a6f5-436e-89d0-da344fdde42d,e3408df9-baf7-4cdc-b88b-7443fd829bce,2,9972730450169,0237784275243,6441500985066,31243351949109,58HRLRFZLZCUIOUUZVLIKC,7875,2022-Aug-10T23:24:06 +0000,Bali,"-8.7172488,115.2191964",vCddC,KbJMyCU,auction center,8ad6bb91-a6f5-436e-89d0-da344fdde42d,9972730450169,0237784275243,4220625469927,Bali_auction_2
